Date,KAZAKHSTANINFRATMOM Open,KAZAKHSTANINFRATMOM Low,KAZAKHSTANINFRATMOM High,KAZAKHSTANINFRATMOM Adj. Close
4/1/2000,0.00%,0.00%,0.00%,0.00%
5/1/2000,0.40%,0.40%,0.40%,0.40%
6/1/2000,0.70%,0.70%,0.70%,0.70%
7/1/2000,0.70%,0.70%,0.70%,0.70%
8/1/2000,0.40%,0.40%,0.40%,0.40%
9/1/2000,0.20%,0.20%,0.20%,0.20%
10/1/2000,0.50%,0.50%,0.50%,0.50%
11/1/2000,1.20%,1.20%,1.20%,1.20%
12/1/2000,1.50%,1.50%,1.50%,1.50%
1/1/2001,1.30%,1.30%,1.30%,1.30%
2/1/2001,1.10%,1.10%,1.10%,1.10%
3/1/2001,0.70%,0.70%,0.70%,0.70%
4/1/2001,0.70%,0.70%,0.70%,0.70%
5/1/2001,0.70%,0.70%,0.70%,0.70%
6/1/2001,0.40%,0.40%,0.40%,0.40%
7/1/2001,0.10%,0.10%,0.10%,0.10%
8/1/2001,-0.10%,-0.10%,-0.10%,-0.10%
9/1/2001,0.00%,0.00%,0.00%,0.00%
10/1/2001,0.20%,0.20%,0.20%,0.20%
11/1/2001,0.70%,0.70%,0.70%,0.70%
12/1/2001,0.90%,0.90%,0.90%,0.90%
1/1/2002,1.00%,1.00%,1.00%,1.00%
2/1/2002,0.70%,0.70%,0.70%,0.70%
3/1/2002,0.30%,0.30%,0.30%,0.30%
4/1/2002,0.20%,0.20%,0.20%,0.20%
5/1/2002,0.50%,0.50%,0.50%,0.50%
6/1/2002,0.90%,0.90%,0.90%,0.90%
7/1/2002,0.50%,0.50%,0.50%,0.50%
8/1/2002,0.60%,0.60%,0.60%,0.60%
9/1/2002,-0.30%,-0.30%,-0.30%,-0.30%
10/1/2002,0.10%,0.10%,0.10%,0.10%
11/1/2002,0.60%,0.60%,0.60%,0.60%
12/1/2002,1.00%,1.00%,1.00%,1.00%
1/1/2003,1.40%,1.40%,1.40%,1.40%
2/1/2003,1.00%,1.00%,1.00%,1.00%
3/1/2003,0.50%,0.50%,0.50%,0.50%
4/1/2003,0.30%,0.30%,0.30%,0.30%
5/1/2003,0.40%,0.40%,0.40%,0.40%
6/1/2003,0.10%,0.10%,0.10%,0.10%
7/1/2003,0.10%,0.10%,0.10%,0.10%
8/1/2003,0.00%,0.00%,0.00%,0.00%
9/1/2003,0.20%,0.20%,0.20%,0.20%
10/1/2003,0.40%,0.40%,0.40%,0.40%
11/1/2003,1.30%,1.30%,1.30%,1.30%
12/1/2003,1.60%,1.60%,1.60%,1.60%
1/1/2004,0.90%,0.90%,0.90%,0.90%
2/1/2004,0.70%,0.70%,0.70%,0.70%
3/1/2004,0.50%,0.50%,0.50%,0.50%
4/1/2004,0.40%,0.40%,0.40%,0.40%
5/1/2004,0.40%,0.40%,0.40%,0.40%
6/1/2004,0.20%,0.20%,0.20%,0.20%
7/1/2004,0.30%,0.30%,0.30%,0.30%
8/1/2004,0.20%,0.20%,0.20%,0.20%
9/1/2004,0.40%,0.40%,0.40%,0.40%
10/1/2004,0.80%,0.80%,0.80%,0.80%
11/1/2004,1.10%,1.10%,1.10%,1.10%
12/1/2004,0.90%,0.90%,0.90%,0.90%
1/1/2005,0.90%,0.90%,0.90%,0.90%
2/1/2005,0.80%,0.80%,0.80%,0.80%
3/1/2005,0.60%,0.60%,0.60%,0.60%
4/1/2005,0.60%,0.60%,0.60%,0.60%
5/1/2005,0.60%,0.60%,0.60%,0.60%
6/1/2005,0.60%,0.60%,0.60%,0.60%
7/1/2005,0.40%,0.40%,0.40%,0.40%
8/1/2005,0.50%,0.50%,0.50%,0.50%
9/1/2005,0.20%,0.20%,0.20%,0.20%
10/1/2005,0.80%,0.80%,0.80%,0.80%
11/1/2005,1.00%,1.00%,1.00%,1.00%
12/1/2005,0.60%,0.60%,0.60%,0.60%
1/1/2006,0.90%,0.90%,0.90%,0.90%
2/1/2006,0.90%,0.90%,0.90%,0.90%
3/1/2006,1.50%,1.50%,1.50%,1.50%
4/1/2006,0.80%,0.80%,0.80%,0.80%
5/1/2006,0.50%,0.50%,0.50%,0.50%
6/1/2006,0.80%,0.80%,0.80%,0.80%
7/1/2006,0.30%,0.30%,0.30%,0.30%
8/1/2006,0.20%,0.20%,0.20%,0.20%
9/1/2006,0.20%,0.20%,0.20%,0.20%
10/1/2006,0.50%,0.50%,0.50%,0.50%
11/1/2006,0.70%,0.70%,0.70%,0.70%
12/1/2006,0.80%,0.80%,0.80%,0.80%
1/1/2007,0.90%,0.90%,0.90%,0.90%
2/1/2007,1.10%,1.10%,1.10%,1.10%
3/1/2007,0.80%,0.80%,0.80%,0.80%
4/1/2007,0.70%,0.70%,0.70%,0.70%
5/1/2007,0.50%,0.50%,0.50%,0.50%
6/1/2007,0.70%,0.70%,0.70%,0.70%
7/1/2007,0.80%,0.80%,0.80%,0.80%
8/1/2007,0.90%,0.90%,0.90%,0.90%
9/1/2007,0.70%,0.70%,0.70%,0.70%
10/1/2007,2.20%,2.20%,2.20%,2.20%
11/1/2007,4.40%,4.40%,4.40%,4.40%
12/1/2007,2.70%,2.70%,2.70%,2.70%
1/1/2008,1.90%,1.90%,1.90%,1.90%
2/1/2008,1.10%,1.10%,1.10%,1.10%
3/1/2008,0.80%,0.80%,0.80%,0.80%
4/1/2008,0.60%,0.60%,0.60%,0.60%
5/1/2008,0.90%,0.90%,0.90%,0.90%
6/1/2008,1.00%,1.00%,1.00%,1.00%
7/1/2008,1.20%,1.20%,1.20%,1.20%
8/1/2008,0.90%,0.90%,0.90%,0.90%
9/1/2008,0.80%,0.80%,0.80%,0.80%
10/1/2008,0.60%,0.60%,0.60%,0.60%
11/1/2008,0.60%,0.60%,0.60%,0.60%
12/1/2008,0.40%,0.40%,0.40%,0.40%
1/1/2009,0.20%,0.20%,0.20%,0.20%
2/1/2009,0.30%,0.30%,0.30%,0.30%
3/1/2009,0.80%,0.80%,0.80%,0.80%
4/1/2009,0.80%,0.80%,0.80%,0.80%
5/1/2009,0.80%,0.80%,0.80%,0.80%
6/1/2009,0.70%,0.70%,0.70%,0.70%
7/1/2009,0.40%,0.40%,0.40%,0.40%
8/1/2009,0.30%,0.30%,0.30%,0.30%
9/1/2009,0.20%,0.20%,0.20%,0.20%
10/1/2009,0.40%,0.40%,0.40%,0.40%
11/1/2009,0.40%,0.40%,0.40%,0.40%
12/1/2009,0.50%,0.50%,0.50%,0.50%
1/1/2010,0.60%,0.60%,0.60%,0.60%
2/1/2010,1.40%,1.40%,1.40%,1.40%
3/1/2010,0.90%,0.90%,0.90%,0.90%
4/1/2010,0.70%,0.70%,0.70%,0.70%
5/1/2010,0.70%,0.70%,0.70%,0.70%
6/1/2010,0.60%,0.60%,0.60%,0.60%
7/1/2010,0.20%,0.20%,0.20%,0.20%
8/1/2010,0.20%,0.20%,0.20%,0.20%
9/1/2010,0.00%,0.00%,0.00%,0.00%
10/1/2010,0.60%,0.60%,0.60%,0.60%
11/1/2010,0.90%,0.90%,0.90%,0.90%
12/1/2010,0.80%,0.80%,0.80%,0.80%
1/1/2011,0.70%,0.70%,0.70%,0.70%
2/1/2011,1.70%,1.70%,1.70%,1.70%
3/1/2011,1.50%,1.50%,1.50%,1.50%
4/1/2011,0.50%,0.50%,0.50%,0.50%
5/1/2011,0.50%,0.50%,0.50%,0.50%
6/1/2011,0.50%,0.50%,0.50%,0.50%
7/1/2011,0.30%,0.30%,0.30%,0.30%
8/1/2011,0.50%,0.50%,0.50%,0.50%
9/1/2011,0.30%,0.30%,0.30%,0.30%
10/1/2011,0.30%,0.30%,0.30%,0.30%
11/1/2011,0.20%,0.20%,0.20%,0.20%
12/1/2011,0.60%,0.60%,0.60%,0.60%
1/1/2012,0.30%,0.30%,0.30%,0.30%
2/1/2012,0.30%,0.30%,0.30%,0.30%
3/1/2012,0.40%,0.40%,0.40%,0.40%
4/1/2012,0.30%,0.30%,0.30%,0.30%
5/1/2012,0.70%,0.70%,0.70%,0.70%
6/1/2012,0.70%,0.70%,0.70%,0.70%
7/1/2012,0.30%,0.30%,0.30%,0.30%
8/1/2012,0.30%,0.30%,0.30%,0.30%
9/1/2012,0.30%,0.30%,0.30%,0.30%
10/1/2012,0.60%,0.60%,0.60%,0.60%
11/1/2012,0.70%,0.70%,0.70%,0.70%
12/1/2012,0.70%,0.70%,0.70%,0.70%
1/1/2013,0.60%,0.60%,0.60%,0.60%
2/1/2013,0.90%,0.90%,0.90%,0.90%
3/1/2013,0.80%,0.80%,0.80%,0.80%
4/1/2013,0.20%,0.20%,0.20%,0.20%
5/1/2013,0.30%,0.30%,0.30%,0.30%
6/1/2013,0.20%,0.20%,0.20%,0.20%
7/1/2013,0.30%,0.30%,0.30%,0.30%
8/1/2013,0.20%,0.20%,0.20%,0.20%
9/1/2013,0.20%,0.20%,0.20%,0.20%
10/1/2013,0.20%,0.20%,0.20%,0.20%
11/1/2013,0.30%,0.30%,0.30%,0.30%
12/1/2013,0.50%,0.50%,0.50%,0.50%
1/1/2014,0.70%,0.70%,0.70%,0.70%
2/1/2014,0.60%,0.60%,0.60%,0.60%
3/1/2014,1.70%,1.70%,1.70%,1.70%
4/1/2014,1.00%,1.00%,1.00%,1.00%
5/1/2014,0.60%,0.60%,0.60%,0.60%
6/1/2014,0.60%,0.60%,0.60%,0.60%
7/1/2014,0.30%,0.30%,0.30%,0.30%
8/1/2014,0.10%,0.10%,0.10%,0.10%
9/1/2014,0.40%,0.40%,0.40%,0.40%
10/1/2014,0.50%,0.50%,0.50%,0.50%
11/1/2014,0.40%,0.40%,0.40%,0.40%
12/1/2014,0.60%,0.60%,0.60%,0.60%
1/1/2015,0.50%,0.50%,0.50%,0.50%
2/1/2015,0.60%,0.60%,0.60%,0.60%
3/1/2015,0.40%,0.40%,0.40%,0.40%
4/1/2015,0.10%,0.10%,0.10%,0.10%
5/1/2015,0.10%,0.10%,0.10%,0.10%
6/1/2015,0.30%,0.30%,0.30%,0.30%
7/1/2015,-0.10%,-0.10%,-0.10%,-0.10%
8/1/2015,0.10%,0.10%,0.10%,0.10%
9/1/2015,0.30%,0.30%,0.30%,0.30%
10/1/2015,1.00%,1.00%,1.00%,1.00%
11/1/2015,5.20%,5.20%,5.20%,5.20%
12/1/2015,3.70%,3.70%,3.70%,3.70%
1/1/2016,1.20%,1.20%,1.20%,1.20%
2/1/2016,1.30%,1.30%,1.30%,1.30%
3/1/2016,1.10%,1.10%,1.10%,1.10%
4/1/2016,0.50%,0.50%,0.50%,0.50%
5/1/2016,0.60%,0.60%,0.60%,0.60%
6/1/2016,0.50%,0.50%,0.50%,0.50%
7/1/2016,0.40%,0.40%,0.40%,0.40%
8/1/2016,0.50%,0.50%,0.50%,0.50%
9/1/2016,0.20%,0.20%,0.20%,0.20%
10/1/2016,0.20%,0.20%,0.20%,0.20%
11/1/2016,0.60%,0.60%,0.60%,0.60%
12/1/2016,1.20%,1.20%,1.20%,1.20%
1/1/2017,0.90%,0.90%,0.90%,0.90%
2/1/2017,0.80%,0.80%,0.80%,0.80%
3/1/2017,1.00%,1.00%,1.00%,1.00%
4/1/2017,0.50%,0.50%,0.50%,0.50%
5/1/2017,0.50%,0.50%,0.50%,0.50%
6/1/2017,0.50%,0.50%,0.50%,0.50%
7/1/2017,0.40%,0.40%,0.40%,0.40%
8/1/2017,0.10%,0.10%,0.10%,0.10%
9/1/2017,-0.60%,-0.60%,-0.60%,-0.60%
10/1/2017,0.30%,0.30%,0.30%,0.30%
11/1/2017,1.20%,1.20%,1.20%,1.20%
12/1/2017,0.90%,0.90%,0.90%,0.90%
1/1/2018,0.70%,0.70%,0.70%,0.70%
2/1/2018,0.60%,0.60%,0.60%,0.60%
3/1/2018,0.70%,0.70%,0.70%,0.70%
4/1/2018,0.50%,0.50%,0.50%,0.50%
5/1/2018,0.40%,0.40%,0.40%,0.40%
6/1/2018,0.20%,0.20%,0.20%,0.20%
7/1/2018,0.20%,0.20%,0.20%,0.20%
8/1/2018,0.10%,0.10%,0.10%,0.10%
9/1/2018,0.20%,0.20%,0.20%,0.20%
10/1/2018,0.40%,0.40%,0.40%,0.40%
11/1/2018,0.40%,0.40%,0.40%,0.40%
12/1/2018,0.90%,0.90%,0.90%,0.90%
1/1/2019,0.70%,0.70%,0.70%,0.70%
2/1/2019,0.50%,0.50%,0.50%,0.50%
3/1/2019,0.30%,0.30%,0.30%,0.30%
4/1/2019,0.50%,0.50%,0.50%,0.50%
5/1/2019,0.50%,0.50%,0.50%,0.50%
